familyid,hhsize,age,lifesatis,dwellingunit,ownhome,employstatus,salary,owncar,numbercars,ownbusiness,healthins,collegeeduc,highlifesatis,logage,employed,retired
9651,2,43,1,1,1,1,0,1,2,0,1,0,1,3.7612002,1,0
9652,1,63,3,3,0,1,0,0,0,0,0,0,0,4.1431346,1,0
9653,4,44,2,2,0,1,0,1,1,0,1,0,1,3.7841897,1,0
9654,6,37,2,1,0,1,0,1,1,0,1,0,1,3.6109178,1,0
9655,3,68,0,3,0,1,0,1,3,0,1,0,0,4.2195077,1,0
9656,6,37,1,1,0,1,0,1,1,0,0,0,1,3.6109178,1,0
6777,2,58,3,3,0,1,0,0,0,0,1,0,0,4.0604429,1,0
5759,2,52,2,3,0,1,0,1,1,0,1,0,1,3.9512436,1,0
6227,3,24,3,6,0,1,0,1,1,0,1,0,0,3.1780539,1,0
7825,1,24,3,1,0,3,0,0,0,0,1,0,0,3.1780539,0,0
5960,1,53,3,3,0,1,0,0,0,0,0,0,0,3.9702919,1,0
6744,1,51,2,3,0,1,0,0,0,0,1,0,1,3.9318256,1,0
7514,3,32,3,2,0,3,0,0,0,0,1,0,0,3.4657359,0,0
7962,1,35,4,3,0,1,0,1,1,0,0,0,0,3.5553482,1,0
7918,7,32,1,2,0,3,0,1,1,0,1,0,1,3.4657359,0,0
9521,1,31,2,1,0,1,0,1,1,0,1,0,1,3.4339871,1,0
8971,4,32,3,3,0,1,0,0,0,0,0,0,0,3.4657359,1,0
6633,6,26,1,3,0,1,300,0,0,0,1,0,1,3.2580965,1,0
7099,2,18,3,3,0,3,0,0,0,0,1,0,0,2.8903718,0,0
6405,1,24,1,3,0,1,0,1,1,0,0,0,1,3.1780539,1,0
6018,7,67,1,1,1,4,0,1,2,0,1,0,1,4.2046928,0,1
9332,5,32,1,3,0,1,0,1,1,0,1,0,1,3.4657359,1,0
8672,3,70,2,2,1,6,0,0,0,0,1,0,1,4.2484951,0,0
8141,2,48,4,3,0,1,0,0,0,0,1,0,0,3.871201,1,0
2340,1,55,3,1,0,1,0,0,0,0,0,0,0,4.0073333,1,0
2209,2,21,3,3,0,6,0,0,0,0,1,0,0,3.0445225,0,0
9363,1,58,3,1,1,3,0,1,1,0,0,0,0,4.0604429,0,0
6726,4,37,3,1,1,1,0,1,2,0,1,0,0,3.6109178,1,0
6016,3,35,1,1,1,1,57000,1,1,0,1,0,1,3.5553482,1,0
